pert_name	n_signatures	min_score	median_score	mean_score	best_fdr_q_nlog10	best_cell	moa	targets	direction
BRD-K16991828	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K16995194	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K17040651	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17120673	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17122162	2	0	0.417	0.417	-0	U2OS	-666		positive_or_zero
BRD-K17128952	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17139153	4	0	0	0.204875	-0	VCAP	-666		positive_or_zero
BRD-K17144088	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K17151012	2	0	0.45325	0.45325	-0	HEPG2	-666		positive_or_zero
BRD-K17175263	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17180926	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K17193648	2	0	0.54515	0.54515	-0	U2OS	-666		positive_or_zero
BRD-K17238328	2	0	0.47375	0.47375	-0	VCAP	-666		positive_or_zero
BRD-K17239874	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17252803	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17266676	2	0	0.5278	0.5278	-0	U2OS	-666		positive_or_zero
BRD-K17293545	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17351089	1	0	0	0	-0	MCF7	-666		positive_or_zero
BRD-K17381515	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K17384993	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17412949	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17416171	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17427497	2	0	0.55235	0.55235	-0	VCAP	-666		positive_or_zero
BRD-K17441474	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17449871	2	0	0.4652	0.4652	-0	PC3	-666		positive_or_zero
BRD-K17466145	1	0	0	0	-0	A549	-666		positive_or_zero
BRD-K17482962	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17492515	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K17507122	4	0	0.72595	0.65465	-0	A549	-666		positive_or_zero
BRD-K17514980	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17536501	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17546203	2	0	0.4773	0.4773	-0	U2OS	-666		positive_or_zero
BRD-K17554230	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K17579844	3	0	0	0.27286666666666665	-0	HT29	-666		positive_or_zero
BRD-K17602350	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17619118	2	0	0.5039	0.5039	-0	MCF7	-666		positive_or_zero
BRD-K17627845	4	0	0	0.238075	-0	VCAP	-666		positive_or_zero
BRD-K17654006	2	0	0.57625	0.57625	-0	A375	-666		positive_or_zero
BRD-K17660756	2	0	0.4823	0.4823	-0	U2OS	-666		positive_or_zero
BRD-K17663482	3	0	0	0.3947333333333333	-0	A549	-666		positive_or_zero
BRD-K17663841	3	0	0	0.33946666666666664	-0	VCAP	-666		positive_or_zero
BRD-K17666351	4	0	0	0.222175	-0	VCAP	-666		positive_or_zero
BRD-K17675814	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17675924	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17686226	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17686770	3	0	0.6785	0.6106333333333334	-0	U2OS	-666		positive_or_zero
BRD-K17689300	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K17705111	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K17705318	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17708304	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17712828	3	0	0.6791	0.6065666666666667	-0	VCAP	-666		positive_or_zero
BRD-K17745445	2	0	0.52835	0.52835	-0	VCAP	-666		positive_or_zero
BRD-K17746689	2	0	0.66045	0.66045	-0	MCF7	-666		positive_or_zero
BRD-K17753780	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17754811	9	0	0	0.502	-0	A549	-666		positive_or_zero
BRD-K17777116	2	0	0	0	-0	HA1E	-666		positive_or_zero
BRD-K17783155	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K17790291	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K17790483	8	0	0.3909	0.5247125	-0	HA1E	-666		positive_or_zero
BRD-K17800788	1	0	0	0	-0	MCF7	-666		positive_or_zero
