pert_name	n_signatures	min_score	median_score	mean_score	best_fdr_q_nlog10	best_cell	moa	targets	direction
RG-7388	13	-2.0326	0	-0.3545846153846154	15.6536	A549	MDM inhibitor		negative
valrubicin	14	-1.9623	-1.2651	-1.0000071428571429	15.6536	HUVEC	DNA inhibitor|Topoisomerase inhibitor		negative
niguldipine	37	-1.9521	-0.81	-0.5961621621621621	15.6536	MCF7	Adrenergic receptor antagonist|Calcium channel blocker;-666		negative
refametinib	15	-1.9474	-1.3959	-0.8782866666666667	15.6536	THP1	MEK inhibitor		negative
ibrutinib	48	-1.9339	0	-0.31694791666666666	15.6536	MCF10A	BTK inhibitor		negative
PD-173074	21	-1.9216	0	-0.27753809523809525	15.6536	HCC515	FGFR inhibitor|VEGFR inhibitor		negative
dabrafenib	23	-1.9156	0	-0.1537521739130435	15.6536	A375	RAF inhibitor		negative
CGP-57380	14	-1.9102	-0.37055	-0.3115142857142857	15.6536	HCC515	MAP kinase inhibitor		negative
mozavaptan	14	-1.9076	0	-0.3121428571428571	15.6536	HUVEC	Vasopressin receptor antagonist		negative
etoposide	41	-1.8916	-1.0015	-0.6672	15.6536	MCF7	Topoisomerase inhibitor;-666		negative
BRD-K86899078	9	-1.8894	0	-0.27534444444444445	15.6536	MCF7	-666		negative
amsacrine	28	-1.8869	-1.0135999999999998	-0.8698892857142857	15.6536	MCF10A	Topoisomerase inhibitor;-666		negative
BRD-K55896799	7	-1.8838	-1.1306	-0.9768	15.6536	MCF7	-666		negative
pyrvinium	2	-1.8819	-1.5467499999999998	-1.5467499999999998	15.6536	MCF7	-666		negative
sunitinib	35	-1.881	-1.0135	-0.81894	15.6536	HCC515	-666;FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor|RET inhibitor|VEGFR inhibitor		negative
BMS-599626	12	-1.8795	-0.3786	-0.38860833333333333	15.6536	MCF10A	EGFR inhibitor|Receptor tyrosine protein kinase inhibitor		negative
PD-0325901	46	-1.8789	0	-0.3331413043478261	15.6536	THP1	MEK inhibitor|MAP kinase inhibitor|Protein kinase inhibitor;-666		negative
MEK-162	14	-1.8729	-1.02325	-0.9032214285714286	15.6536	THP1	MEK inhibitor		negative
BIX-02189	21	-1.8714	0	-0.10727619047619047	15.6536	THP1	MEK inhibitor		negative
malonoben	16	-1.8673	-1.0534	-0.87060625	15.6536	HCC515	Protein tyrosine kinase inhibitor		negative
BRD-K09907482	17	-1.8627	0	0.15898235294117646	15.6536	HCC515	Tyrosine phosphatase inhibitor		negative
BRD-K47869605	23	-1.8624	-1.0438	-0.8004652173913044	15.6536	YAPC	Tubulin inhibitor		negative
tamoxifen	54	-1.8616	-0.7414499999999999	-0.3998	15.6536	MCF7	Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM);-666;Estrogen receptor antagonist		negative
rociletinib	14	-1.8611	-1.2181	-1.1200714285714286	15.6536	HUVEC	EGFR inhibitor		negative
BRD-K75969390	2	-1.8595	-0.92975	-0.92975	15.6536	VCAP	-666		negative
fingolimod	16	-1.8571	-0.8396	-0.883225	15.6536	HCC515	Immunosuppressant|Sphingosine 1 phosphate receptor agonist		negative
AZD-4547	19	-1.8557	-1.1541	-0.8985947368421052	15.6536	HUVEC	FGFR inhibitor		negative
progesterone	33	-1.8548	0	-0.016390909090909084	15.6536	MCF10A	Progesterone receptor agonist;-666		negative
tremulacin	10	-1.8538	-0.82865	-0.79288	15.6536	MCF7	Lipoxygenase inhibitor		negative
BRD-K84633118	8	-1.8534	-1.28985	-1.214925	15.6536	A375	-666		negative
AMG-232	14	-1.8509	-0.38565	-0.6249142857142858	15.6536	MCF7	MDM inhibitor		negative
BRD-K52981369	9	-1.8489	-1.1452	-1.1108	15.6536	MCF7	-666		negative
COL-3	9	-1.8461	-1.0631	-0.7926666666666666	15.6536	A375	Matrix metalloprotease inhibitor		negative
afatinib	48	-1.8447	0	-0.32639583333333333	15.6536	MCF10A	EGFR inhibitor;-666		negative
PLX-4720	19	-1.8436	0	-0.2771736842105263	15.6536	A375	RAF inhibitor		negative
tanespimycin	68	-1.8425	-0.99175	-0.7115235294117647	15.6536	MCF10A	-666;HSP inhibitor		negative
mericitabine	15	-1.8422	-0.8158	-0.2922666666666667	15.6536	MCF7	HCV inhibitor		negative
PF-03758309	21	-1.8415	-1.1284	-0.817247619047619	15.6536	MCF10A	P21 activated kinase inhibitor		negative
ZK-164015	14	-1.8384	-0.8268	-0.32690714285714284	15.6536	MCF7	Estrogen receptor antagonist		negative
BRD-K61195623	13	-1.8381	-1.1	-0.8938923076923078	15.6536	YAPC	Tubulin inhibitor|Angiogenesis inhibitor|Apoptosis stimulant		negative
triflupromazine	19	-1.8359	-0.7853	-0.5538894736842105	15.6536	MCF7	Dopamine receptor antagonist		negative
BRD-A18763547	15	-1.835	-0.6754	-0.4221533333333333	15.6536	A549	Cytochrome P450 inhibitor		negative
BRD-K54263226	9	-1.8289	-1.4822	-1.1207555555555555	15.6536	MCF7	-666		negative
WYE-125132	22	-1.828	-0.9121999999999999	-0.6651363636363636	15.6536	HEPG2	MTOR inhibitor		negative
rucaparib	30	-1.8232	0	-0.021396666666666665	15.6536	MCF7	PARP inhibitor		negative
BX-795	29	-1.8226	-0.9911	-0.9447586206896552	15.6536	HUVEC	IKK inhibitor		negative
fulvestrant	46	-1.8216	0	-0.30116521739130436	15.6536	MCF7	-666;Estrogen receptor antagonist		negative
BRD-K15050703	11	-1.8195	-1.5088	-1.152290909090909	15.6536	PC3	-666		negative
GSK-1059615	57	-1.819	-0.876	-0.5223578947368421	15.6536	HUVEC	-666;PI3K inhibitor		negative
BRD-K43579410	2	-1.8187	-0.261	-0.261	15.6536	PC3	-666		negative
foretinib	19	-1.818	-0.8	-0.5843157894736842	15.6536	HUVEC	VEGFR inhibitor		negative
vandetanib	21	-1.8129	-0.72	-0.4954047619047619	15.6536	MCF10A	EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor		negative
cobimetinib	25	-1.8104	-0.8865	-0.687376	15.6536	MCF10A	MEK inhibitor		negative
BRD-K58288048	9	-1.809	-1.0598	-0.9067333333333334	15.6536	MCF7	-666		negative
BRD-K00313977	9	-1.8051	0	-0.48433333333333334	15.6536	MCF7	-666		negative
TAK-733	14	-1.8046	-1.19865	-1.1869714285714286	15.6536	THP1	MEK inhibitor		negative
GANT-61	13	-1.804	-0.6536	-0.5603153846153847	15.6536	MCF7	GLI antagonist		negative
PI-828	13	-1.8008	-0.9231	-0.8484846153846154	15.6536	VCAP	PI3K inhibitor		negative
CIL56	8	-1.8004	-1.4727999999999999	-1.153825	15.6536	PC3	-666		negative
CEP-37440	15	-1.7952	-1.1787	-0.9256733333333333	15.6536	MCF10A	ALK inhibitor		negative
NVP-TAE226	17	-1.7947	-1.2387	-1.1194705882352942	15.6536	THP1	Protein tyrosine kinase inhibitor		negative
SB-939	22	-1.7944	-0.8695999999999999	-0.5225136363636363	15.6536	MCF10A	HDAC inhibitor		negative
NVP-ADW742	3	-1.794	-1.6525	-1.5445	15.6536	PC3	IGF-1 inhibitor		negative
BRD-K69894866	9	-1.7928	0	-0.6000666666666666	15.6536	MCF7	-666		negative
BRD-K51556300	11	-1.7924	-1.1133	-0.7057727272727272	15.6536	PC3	-666		negative
DL-PDMP	19	-1.7924	-0.9765	-0.8702578947368421	15.6536	MCF7	Glucosyltransferase inhibitor		negative
fenticonazole	14	-1.7917	0	0.030478571428571435	15.6536	HUVEC	Bacterial cell wall synthesis inhibitor		negative
BRD-K30836161	8	-1.7914	-0.9350499999999999	-0.75355	15.6536	MCF7	-666		negative
selumetinib	42	-1.7908	0	-0.18107857142857142	15.6536	THP1	MEK inhibitor		negative
BRD-K92904839	2	-1.7887	-1.45055	-1.45055	15.6536	A549	-666		negative
BRD-K63000292	11	-1.7883	-1.032	-0.7379727272727272	15.6536	HEPG2	-666		negative
BRD-K64645183	10	-1.7883	-1.50695	-0.89191	15.6536	HT29	-666		negative
LLY-507	2	-1.7842	-1.3702	-1.3702	15.6536	PC3	-666		negative
merck-ketone	9	-1.7839	-1.1436	-1.1876222222222221	15.6536	MCF7	-666		negative
BRD-K42197878	10	-1.783	-1.0962	-1.02694	15.6536	HT29	-666		negative
MGCD-265	22	-1.7829	0	-0.05319545454545455	15.6536	HUVEC	VEGFR inhibitor		negative
C-646	30	-1.7822	-0.7930999999999999	-0.5725633333333333	15.6536	HUVEC	Histone acetyltransferase inhibitor		negative
regorafenib	23	-1.7819	-0.927	-0.717391304347826	15.6536	HCC515	FGFR inhibitor|KIT inhibitor|PDGFR inhibitor|RAF inhibitor|RET inhibitor|VEGFR inhibitor		negative
BRD-K74461819	10	-1.7817	-1.2454999999999998	-1.0499	15.6536	A375	-666		negative
BRD-K49687815	2	-1.7808	-1.2567	-1.2567	15.6536	MCF7	-666		negative
PD-184352	25	-1.7803	-0.9735	-0.678144	15.6536	MCF10A	MEK inhibitor		negative
naproxol	12	-1.7794	0.8859	0.21811666666666665	15.6536	MCF7	Anti-inflammatory		negative
simvastatin	37	-1.7793	-0.7823	-0.6350216216216216	15.6536	A375	HMGCR inhibitor;-666		negative
BRD-K30351863	8	-1.7787	-1.0436	-0.911475	15.6536	MCF7	-666		negative
OSI-027	37	-1.7785	-0.8085	-0.4875891891891892	15.6536	MCF10A	MTOR inhibitor;-666		negative
fluvastatin	18	-1.7783	-1.2918500000000002	-0.8208944444444445	15.6536	MCF7	HMGCR inhibitor;-666		negative
NVP-BHG712	19	-1.7778	-0.88	-0.6013315789473684	15.6536	HME1	Ephrin inhibitor		negative
WAY-170523	13	-1.7755	-0.9775	-1.0952307692307692	15.6536	HCC515	Metalloproteinase inhibitor		negative
netupitant	13	-1.7754	-0.9141	-0.6948846153846154	15.6536	MCF7	Tachykinin antagonist		negative
dacomitinib	19	-1.7753	-1.0616	-0.8224684210526316	15.6536	MCF10A	EGFR inhibitor		negative
BRD-K14666757	2	-1.7751	-0.88755	-0.88755	15.6536	PC3	-666		negative
CGP-71683	12	-1.7747	-1.20845	-1.2761166666666668	15.6536	PC3	-666		negative
BRD-K10211010	12	-1.7728	-1.0981999999999998	-0.967475	15.6536	MCF7	-666		negative
wortmannin	64	-1.7725	-0.9776	-0.754078125	15.6536	A549	-666;PI3K inhibitor		negative
KIN001-127	28	-1.7718	-0.9363	-0.6439857142857143	15.6536	HUVEC	ITK inhibitor		negative
GR-127935	13	-1.7712	-1.131	-0.8453846153846154	15.6536	MCF7	Serotonin receptor antagonist		negative
BRD-K47000838	14	-1.77	-0.9405	-0.7821428571428571	15.6536	HUVEC	Tubulin inhibitor		negative
taselisib	25	-1.77	-1.1908	-0.996944	15.6536	MCF10A	PI3K inhibitor		negative
KU-C104337	9	-1.7695	-1.3482	-1.3375666666666668	15.6536	A549	-666		negative
MLN-0128	19	-1.7692	-1.1205	-0.9812052631578947	15.6536	HT29	MTOR inhibitor		negative
cabazitaxel	12	-1.7688	-1.0988	-0.8707333333333334	15.6536	HUVEC	Tubulin inhibitor		negative
SKF-96365	14	-1.7683	0	-0.14975000000000002	15.6536	A549	Calcium channel blocker		negative
lovastatin	35	-1.7664	-0.6651	-0.5171371428571429	15.6536	PC3	-666;HMGCR inhibitor		negative
BRD-K80648041	9	-1.7661	-0.8493	-0.6556888888888889	15.6536	MCF7	-666		negative
NNC-55-0396	12	-1.7661	-1.1332499999999999	-0.8996333333333334	15.6536	HCC515	Calcium channel blocker		negative
BRD-K74316684	10	-1.7651	-1.0267	-0.7721	15.6536	MCF7	-666		negative
BRD-K59333713	9	-1.7625	-1.1785	-0.9348	15.6536	PC3	Adrenergic receptor antagonist		negative
BRD-K97194822	8	-1.7596	-1.2582	-1.2620125	15.6536	HT29	-666		negative
bazedoxifene	13	-1.7591	-0.8177	-0.6490384615384616	15.6536	PC3	Selective estrogen receptor modulator (SERM)		negative
ingenol	18	-1.759	-0.99275	-0.7890166666666667	15.6536	HCC515	-666		negative
BRD-K24031526	12	-1.7586	-0.328	-0.2624	15.6536	MCF7	-666		negative
resminostat	16	-1.7579	-1.1526999999999998	-1.062575	15.6536	HUVEC	HDAC inhibitor		negative
HG-9-91-01	17	-1.7573	0	-0.3866058823529412	15.6536	MDAMB231	-666		negative
BRD-K12393722	9	-1.7572	-0.8742	-0.6289333333333333	15.6536	HA1E	-666		negative
norethindrone	19	-1.757	0	0.03830526315789475	15.6536	VCAP	Progesterone receptor agonist;-666		negative
mycophenolate-mofetil	31	-1.7553	-1.0172	-0.6698129032258064	15.6536	MCF7	Inosine monophosphate dehydrogenase inhibitor|Dehydrogenase inhibitor|Hydroxycarboxylic acid receptor agonist|Immunosuppressant|Inositol monophosphatase inhibitor		negative
SGC-CBP30	9	-1.7537	-1.0876	-0.4658	15.6536	MCF10A	Bromodomain inhibitor		negative
pitavastatin	21	-1.7535	-1.088	-0.9291476190476191	15.6536	HUVEC	-666;HMGCR inhibitor		negative
irinotecan	15	-1.7527	0	-0.08902666666666666	15.6536	MCF7	Topoisomerase inhibitor		negative
CMPD-1	9	-1.752	-0.9163	-0.8220333333333333	15.6536	MCF7	P38 MAPK inhibitor		negative
acronycine	1	-1.7501	-1.7501	-1.7501	15.6536	MCF10A	-666		negative
trametinib	26	-1.7495	0	-0.16225	15.6536	HT29	MEK inhibitor		negative
KPT-330	9	-1.7491	-1.3116	-1.0108777777777778	15.6536	A375	Exportin antagonist		negative
3-Cl-AHPC	8	-1.7461	-1.16925	-1.285825	15.6536	A549	-666		negative
Ro-4987655	13	-1.7449	-1.1632	-0.8061	15.6536	MCF10A	MEK inhibitor		negative
BRD-K10749593	8	-1.7446	-1.41055	-1.2539875	15.6536	HCC515	-666		negative
BRD-K09191212	14	-1.7442	0	0.1864142857142857	15.6536	VCAP	-666		negative
mibefradil	24	-1.7438	-0.94545	-0.66825	15.6536	HCC515	-666;Calcium channel blocker		negative
purvalanol-a	10	-1.7434	-1.3404	-1.04915	15.6536	PC3	CDK inhibitor|DYRK inhibitor		negative
BRD-K88008216	9	-1.7431	-0.9284	-0.4926888888888889	15.6536	MCF7	-666		negative
VU-0418946-1	14	-1.7426	-1.4291	-1.2105428571428571	15.6536	MCF7	Hypoxia inducible factor activator		negative
BMS-754807	18	-1.7423	-1.0704500000000001	-0.7441888888888889	15.6536	MCF7	IGF-1 inhibitor		negative
BRD-K87434936	10	-1.7423	-1.35275	-0.98999	15.6536	HEPG2	-666		negative
NCH-51	10	-1.7422	-1.2015500000000001	-1.03791	15.6536	MCF7	HDAC inhibitor		negative
XMD-1150	33	-1.741	-0.7841	-0.4963	15.6536	SKMEL5	LRRK inhibitor		negative
gossypol	30	-1.741	-0.7063999999999999	-0.51536	15.6536	A549	BCL inhibitor|MCL1 inhibitor		negative
tetranitromethane	3	-1.741	-1.0658	-0.6845333333333334	15.6536	MCF10A	-666		negative
dolastatin-10	13	-1.7404	-1.006	-0.8467	15.6536	YAPC	Tubulin inhibitor|Immunostimulant		negative
amlodipine	25	-1.7402	-0.9373	-0.491976	15.6536	HCC515	-666;Calcium channel blocker		negative
thapsigargin	32	-1.738	-0.96475	-0.5789593749999999	15.6536	A549	ATPase inhibitor;-666		negative
sotrastaurin	20	-1.7371	-0.7662	-0.443325	15.6536	TMD8	PKC inhibitor		negative
BRD-K00540336	10	-1.7369	-0.9066000000000001	-0.74381	15.6536	MCF7	-666		negative
mercaptopurine	13	-1.7365	0	-0.23376153846153847	15.6536	MCF7	Immunosuppressant|Protein synthesis inhibitor|Purine antagonist		negative
BRD-A27640568	12	-1.7339	-0.8466	-0.6989583333333333	15.6536	HCC515	-666		negative
triciribine	39	-1.7336	0	-0.35257692307692307	15.6536	VCAP	-666;AKT inhibitor		negative
PF-184	2	-1.7323	-1.4592999999999998	-1.4592999999999998	15.6536	A375	-666		negative
neratinib	28	-1.7322	-1.0365	-0.8765214285714286	15.6536	HCC515	EGFR inhibitor		negative
NVP-BEZ235	42	-1.7315	-1.07205	-0.8127833333333333	15.6536	TMD8	MTOR inhibitor|PI3K inhibitor		negative
BRD-K77480336	9	-1.7313	-0.9376	-0.5220111111111111	15.6536	A375	-666		negative
AZD-8055	26	-1.7296	-0.97035	-0.6845576923076923	15.6536	VCAP	MTOR inhibitor		negative
KHS-101	8	-1.7292	-1.2222	-1.1623125	15.6536	HEPG2	Neural stem cell inducer		negative
BRD-K39687892	13	-1.7289	0.7773	0.33449999999999996	15.6536	MCF7	-666		negative
BRD-K89997465	21	-1.728	-0.7049	-0.41715714285714284	15.6536	MCF7	Dopamine receptor antagonist		negative
BRD-K41335306	10	-1.7276	-1.358	-1.00009	15.6536	HT29	-666		negative
tivozanib	35	-1.7274	0	-0.17988	15.6536	HUVEC	VEGFR inhibitor		negative
tipifarnib	19	-1.7272	0	0.026621052631578955	15.6536	MCF7	Farnesyltransferase inhibitor		negative
uracil-mustard	2	-1.7268	-1.53235	-1.53235	15.6536	HEPG2	DNA inhibitor		negative
BRD-K78385490	9	-1.7235	-1.334	-1.2803444444444445	15.6536	A549	-666		negative
AZD-9291	19	-1.7228	-1.0758	-0.951	15.6536	THP1	EGFR inhibitor		negative
BRD-K86961442	9	-1.7222	-1.4121	-1.3552777777777778	15.6536	MCF7	-666		negative
BRD-A19037878	42	-1.7219	-1.01035	-0.70735	15.6536	MINO	-666		negative
dacinostat	22	-1.7219	-0.86165	-0.6319727272727272	15.6536	MCF10A	HDAC inhibitor		negative
suloctidil	23	-1.7215	-0.8751	-0.5875130434782608	15.6536	MCF7	Adrenergic receptor antagonist		negative
ENMD-2076	15	-1.7211	-0.8506	-0.7449600000000001	15.6536	HUVEC	Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor		negative
pacritinib	5	-1.72	-1.0097	-0.76334	15.6536	A375	FLT3 inhibitor|JAK inhibitor		negative
AG-879	14	-1.7198	-1.1707999999999998	-0.9301714285714285	15.6536	MCF7	Tyrosine kinase inhibitor|Angiogenesis inhibitor|VEGFR inhibitor		negative
BRD-K52321331	9	-1.7179	-1.205	-1.0356777777777777	15.6536	MCF7	-666		negative
BMS-509744	22	-1.7178	-1.11205	-0.9153863636363636	15.6536	HUVEC	-666;ITK inhibitor		negative
VU-0418947-2	9	-1.7166	-1.3435	-1.2558111111111112	15.6536	MCF7	HIF modulator		negative
serdemetan	35	-1.7158	-0.9327	-0.5791114285714286	15.6536	HUVEC	MDM inhibitor;-666		negative
IPI-145	17	-1.7149	0	-0.2099294117647059	15.6536	TMD8	PI3K inhibitor		negative
BRD-K45962729	8	-1.7148	-1.40985	-1.3859	15.6536	A375	-666		negative
AZD-3463	5	-1.7145	-1.4236	-1.1777	15.6536	PC3	ALK inhibitor|IGF-1 inhibitor		negative
BRD-K90805324	9	-1.7145	-1.0113	-0.7464999999999999	15.6536	HT29	-666		negative
PI-103	31	-1.7142	-0.8835	-0.5698483870967742	15.6536	HCC515	PI3K inhibitor|MTOR inhibitor		negative
FCCP	15	-1.714	-0.9693	-0.6750733333333333	15.6536	HCC515	Mitochondrial oxidative phosphorylation uncoupler		negative
oprozomib	10	-1.7138	-1.1466500000000002	-0.8986500000000001	15.6536	A549	Proteasome inhibitor		negative
AZD-8330	17	-1.7137	-1.1236	-0.7254882352941177	15.6536	MCF10A	MEK inhibitor		negative
fluorouracil	14	-1.7133	-0.92355	-0.4926785714285714	15.6536	MCF7	Thymidylate synthase inhibitor		negative
ponatinib	23	-1.7133	-1.1382	-0.8402826086956522	15.6536	THP1	Bcr-Abl inhibitor|FLT3 inhibitor|PDGFR inhibitor		negative
GDC-0199	25	-1.7131	-0.8948	-0.547964	15.6536	SKMEL5	BCL inhibitor		negative
mepacrine	26	-1.7127	-1.0030999999999999	-0.79660769230769235	15.6536	MCF10A	NFKB inhibitor|Cytokine production inhibitor|p53 activator		negative
crizotinib	34	-1.7124	-1.037	-0.7086617647058824	15.6536	MCF10A	ALK inhibitor		negative
EMD-1214063	12	-1.711	0	-0.28155	15.6536	HT29	HGF receptor inhibitor		negative
terfenadine	14	-1.7108	-1.09105	-0.8144571428571429	15.6536	MCF7	Histamine receptor antagonist		negative
BRD-K55116708	9	-1.7107	-0.9355	-0.7738777777777778	15.6536	PC3	-666		negative
BRD-A15079084	19	-1.7105	-1.0284	-0.9030789473684211	15.6536	HCC515	-666		negative
scriptaid	14	-1.7105	-0.5068	-0.6181214285714286	15.6536	MCF10A	HDAC inhibitor		negative
HG-14-10-04	17	-1.7102	-1.2357	-1.1561705882352942	15.6536	THP1	-666		negative
cediranib	23	-1.7098	-0.9497	-0.5829521739130434	15.6536	HUVEC	VEGFR inhibitor|KIT inhibitor		negative
SA-1921456	10	-1.7096	-0.8893500000000001	-0.8097	15.6536	HT29	-666		negative
SB-271046	14	-1.7087	0	-0.1366	15.6536	HUVEC	Serotonin receptor antagonist		negative
cyclosporin-a	73	-1.7079	-0.6866	-0.45564794520547947	15.6536	A375	-666;Calcineurin inhibitor		negative
GDC-0879	27	-1.7073	0	-0.12916296296296295	15.6536	A375	RAF inhibitor		negative
auranofin	29	-1.7071	-1.1736	-1.0315344827586208	15.6536	HCT116	NFKB inhibitor;-666		negative
GDC-0980	18	-1.707	-1.1412	-0.9209166666666667	15.6536	HT29	-666;MTOR inhibitor|PI3K inhibitor		negative
HC-toxin	13	-1.7063	0	-0.4477230769230769	15.6536	MCF7	HDAC inhibitor		negative
BRD-K81795824	13	-1.7057	-1.3067	-0.9482538461538461	15.6536	MCF7	-666		negative
WZ-4-145	32	-1.7047	-1.09935	-0.625696875	15.6536	MCF10A	-666;EGFR inhibitor		negative
UNC-1999	2	-1.7043	-1.5484	-1.5484	15.6536	PC3	Histone lysine methyltransferase inhibitor		negative
docetaxel	46	-1.7037	0	-0.2855891304347826	15.6536	HUVEC	-666;Tubulin inhibitor		negative
BRD-K68336408	32	-1.7019	0	-0.232103125	15.6536	HCC515	EGFR inhibitor		negative
KW-2449	19	-1.7014	-1.1055	-1.0024315789473683	15.6536	HUVEC	Abl inhibitor|Aurora kinase inhibitor|FLT3 inhibitor		negative
BRD-K29506255	8	-1.7012	-1.0685	-1.040475	15.6536	MCF7	-666		negative
NVP-AEW541	18	-1.7008	-0.85985	-0.6593833333333333	15.6536	HT29	-666;IGF-1 inhibitor		negative
BRD-A28105619	20	-1.7005	-0.9053	-0.767725	15.6536	HCC515	-666		negative
UMB-32	8	-1.7004	-1.2919	-1.144125	15.6536	A375	-666		negative
KPT-185	2	-1.6997	-1.6074	-1.6074	15.6536	A375	Exportin antagonist		negative
CGK-733	25	-1.6996	0	-0.328772	15.6536	HCC515	ATM kinase inhibitor|ATR kinase inhibitor		negative
BRD-K85818861	9	-1.6995	-1.1133	-0.8992222222222223	15.6536	MCF7	-666		negative
zardaverine	23	-1.6995	0	-0.10653478260869564	15.6536	HUVEC	Phosphodiesterase inhibitor		negative
BRD-K06009608	8	-1.6994	-1.13215	-0.7590125	15.6536	MCF7	-666		negative
daunorubicin	53	-1.6994	-1.0632	-0.7680603773584905	15.6536	MCF7	RNA synthesis inhibitor|Topoisomerase inhibitor;-666		negative
dichlorobenzamil	15	-1.6988	-0.9449	-0.6158399999999999	15.6536	MCF7	-666;Sodium channel inhibitor		negative
BRD-K63158888	10	-1.6964	-1.3479	-0.97968	15.6536	A375	-666		negative
CX-5461	22	-1.6958	-0.80915	-0.5746454545454546	15.6536	MCF7	RNA polymerase inhibitor		negative
dinaciclib	29	-1.6949	-0.9679	-0.7485172413793103	15.6536	MCF7	CDK inhibitor		negative
PF-04691502	23	-1.6945	-1.3986	-1.0890608695652173	15.6536	A549	MTOR inhibitor|PI3K inhibitor		negative
BRD-K86217343	2	-1.6941	-1.6092499999999998	-1.6092499999999998	15.6536	PC3	-666		negative
NNC-05-2090	13	-1.6941	-0.9738	-0.8759769230769231	15.6536	HCC515	GAT inhibitor|GABA uptake inhibitor		negative
BRD-K92317137	19	-1.6939	-1.1953	-1.0609105263157894	15.6536	PC3	-666		negative
BRD-K11413513	8	-1.6938	-0.9460999999999999	-0.711075	15.6536	A375	-666		negative
BRD-K31632228	2	-1.6935	-1.6343	-1.6343	15.6536	HEPG2	-666		negative
palbociclib	27	-1.6935	-1.1024	-0.7486407407407407	15.6536	THP1	CDK inhibitor		negative
olmesartan-medoxomil	20	-1.6934	0	-0.318185	15.6536	YAPC	Angiotensin receptor antagonist		negative
T-98475	13	-1.693	-0.8804	-0.5848076923076923	15.6536	HCC515	Gonadotropin receptor antagonist		negative
CYT-997	20	-1.6914	-1.00125	-0.69869	15.6536	YAPC	Tubulin inhibitor		negative
albendazole	20	-1.6914	-0.34215	-0.46932	15.6536	A549	Tubulin inhibitor		negative
BRD-K37940862	9	-1.6908	0	-0.42632222222222227	15.6536	MCF7	-666		negative
BRD-K73008154	10	-1.6902	-0.54375	-0.6981999999999999	15.6536	HCC515	-666		negative
DG-041	16	-1.6893	-0.93885	-0.40234375	15.6536	A375	Prostanoid receptor antagonist		negative
GDC-0941	34	-1.6885	-0.94165	-0.7037911764705882	15.6536	VCAP	PI3K inhibitor		negative
BRD-K63750851	17	-1.6881	0	-0.2296235294117647	15.6536	MCF10A	Dehydrogenase inhibitor|Inositol monophosphatase inhibitor		negative
BRD-A18725729	9	-1.6878	-1.4276	-1.1054555555555556	15.6536	PC3	-666		negative
selamectin	18	-1.6869	-0.71585	-0.43245	15.6536	HCC515	Nematocide		negative
RS-17053	13	-1.6851	-1.1086	-1.0683153846153846	15.6536	MCF7	Adrenergic receptor antagonist		negative
BRD-A17818859	2	-1.6844	-1.5970499999999999	-1.5970499999999999	15.6536	A549	-666		negative
devazepide	14	-1.6843	0	-0.27708571428571427	15.6536	MCF7	CCK receptor antagonist		negative
BRD-K72318460	10	-1.6834	-0.8808	-0.76422	15.6536	HEPG2	-666		negative
BRD-K23018071	10	-1.6833	-1.15315	-1.00147	15.6536	HCC515	-666		negative
BRD-K08448573	9	-1.6828	-1.044	-0.8873666666666666	15.6536	VCAP	-666		negative
linsitinib	45	-1.6823	0	-0.002660000000000003	15.6536	HT29	-666;IGF-1 inhibitor		negative
BRD-K38625260	9	-1.682	-1.0262	-0.8867333333333334	15.6536	MCF7	-666		negative
TAK-285	14	-1.682	0	-0.15385000000000001	15.6536	HUVEC	EGFR inhibitor		negative
midostaurin	30	-1.682	-0.94435	-0.5488266666666667	15.6536	MDAMB231	FLT3 inhibitor|KIT inhibitor|PKC inhibitor		negative
voreloxin	9	-1.682	0	-0.2105222222222222	15.6536	A375	Topoisomerase inhibitor		negative
BVD-523	14	-1.6818	-1.1183999999999998	-0.94345	15.6536	HUVEC	MAP kinase inhibitor		negative
nilotinib	37	-1.6815	0	-0.10534324324324325	15.6536	A375	Bcr-Abl inhibitor|Abl inhibitor		negative
AS-703026	22	-1.6813	-1.02905	-0.7223863636363637	15.6536	A375	MEK inhibitor		negative
BRD-K61717269	13	-1.681	-1.1441	-1.172923076923077	15.6536	A375	-666		negative
rosuvastatin	22	-1.6794	0	-0.2477818181818182	15.6536	ASC	HMGCR inhibitor		negative
ceritinib	5	-1.6792	-1.4663	-1.37256	15.6536	PC3	ALK inhibitor		negative
WZ-3146	14	-1.679	-0.79285	-0.6653571428571429	15.6536	MCF7	EGFR inhibitor		negative
SKI-II	23	-1.6788	-0.8927	-0.6322173913043478	15.6536	PC3	Sphingosine kinase inhibitor		negative
BRD-K34624563	8	-1.678	-1.1965	-1.089175	15.6536	MCF7	-666		negative
BRD-K61255301	8	-1.6774	-1.35445	-1.3358125	15.6536	MCF7	-666		negative
BRD-K16277767	11	-1.6773	-0.6728	-0.5017090909090909	15.6536	SKMEL5	-666		negative
BRD-K25712227	8	-1.6773	-1.2052	-0.9979625000000001	15.6536	A549	-666		negative
rottlerin	45	-1.677	0	-0.3027066666666667	15.6536	HCC515	-666;MAP kinase inhibitor|Protein kinase inhibitor		negative
