mature_mirna_id	n_targets_total	n_targets_BROAD	n_targets_PPI_core	n_hits_TOP2A	n_hits_PARP1	hits_any_core_hub	hits_TOP2A_or_PARP1	logFC	adj.P.Val
hsa-miR-187-3p	16	16	3	0	0	TRUE	FALSE	1.0714499027000006	1.7556393649001894e-4
hsa-miR-409-3p	16	16	3	0	0	TRUE	FALSE	-3.185668889599999	2.0573057505596055e-6
hsa-miR-379-5p	15	15	3	0	3	TRUE	TRUE	1.5850058609000004	3.473428132161268e-5
hsa-miR-1262	12	12	3	0	0	TRUE	FALSE	3.930051072300002	6.983133917498573e-4
hsa-miR-4662a-5p	11	11	3	1	0	TRUE	TRUE	-1.225150729	2.072383574842157e-7
hsa-miR-4999-5p	11	11	3	0	0	TRUE	FALSE	1.7769676601000008	2.2782285023645317e-5
hsa-miR-1976	10	10	3	0	0	TRUE	FALSE	-1.1316237291999998	1.238721718212311e-7
hsa-miR-4685-3p	10	10	3	0	0	TRUE	FALSE	-1.4175977025999993	5.972625137997498e-7
hsa-miR-4701-3p	9	9	3	0	0	TRUE	FALSE	5.044473570400001	1.1614958635962318e-9
hsa-miR-299-5p	8	8	3	0	0	TRUE	FALSE	-1.6590921626	5.772783052272112e-8
hsa-miR-4421	7	7	3	0	0	TRUE	FALSE	1.745480262900001	3.431998047532117e-4
hsa-miR-548b-5p	6	6	3	0	0	TRUE	FALSE	1.0059874785000005	2.5028526499270554e-8
hsa-miR-29a-5p	27	27	2	0	0	TRUE	FALSE	-1.0860733459999987	0.00119224393177991
hsa-miR-3149	27	27	2	0	0	TRUE	FALSE	4.206225868000011	0.03876249769324517
hsa-miR-4768-3p	18	18	2	0	0	TRUE	FALSE	-1.2585116284999982	0.012654072463188
hsa-miR-885-5p	17	17	2	0	0	TRUE	FALSE	-1.5555143076999998	5.5386867809487595e-8
hsa-let-7f-1-3p	16	16	2	0	0	TRUE	FALSE	-1.2142403721	1.4931904988836406e-9
hsa-miR-3689a-3p	16	16	2	0	0	TRUE	FALSE	1.9512325308000031	0.01488891635127039
hsa-miR-23a-5p	14	14	2	1	0	TRUE	TRUE	1.724806227100001	3.398415623909905e-5
hsa-miR-184	13	13	2	0	0	TRUE	FALSE	3.1504188653000016	3.204509695506592e-8
hsa-miR-935	13	13	2	0	0	TRUE	FALSE	-3.355900546499999	8.258909094905316e-8
hsa-miR-1179	12	12	2	0	0	TRUE	FALSE	-2.1498172347	1.2496018749780038e-4
hsa-miR-127-3p	12	12	2	0	0	TRUE	FALSE	-1.0244985161999998	8.795345092292268e-6
hsa-miR-3605-5p	12	12	2	0	0	TRUE	FALSE	2.112034255300001	3.468287493041421e-5
hsa-miR-485-3p	12	12	2	0	0	TRUE	FALSE	-1.2199429853999997	2.7276075093060663e-4
hsa-miR-1246	11	11	2	0	0	TRUE	FALSE	-11.274229153999991	0.0075389027655139804
hsa-miR-502-5p	9	9	2	0	0	TRUE	FALSE	-8.398177054499996	2.2599671703015625e-5
hsa-miR-192-3p	8	8	2	0	0	TRUE	FALSE	-17.476171762955556	3.894040864861719e-7
hsa-miR-3127-5p	7	7	2	0	0	TRUE	FALSE	2.5772621460000007	2.4370243307334636e-5
hsa-miR-4695-3p	7	7	2	0	0	TRUE	FALSE	-1.0391529357999998	1.6514751559112465e-5
hsa-miR-5100	5	5	2	0	0	TRUE	FALSE	-3.606591766899998	2.1805158920691715e-4
hsa-miR-3152-5p	3	3	2	0	0	TRUE	FALSE	-1.9184720933999997	1.4145208633543163e-5
hsa-miR-4436b-3p	3	3	2	0	0	TRUE	FALSE	1.120579921700001	0.00167084794826895
hsa-miR-548n	3	3	2	0	0	TRUE	FALSE	1.606720929100002	8.354586671234893e-4
hsa-miR-29b-1-5p	22	22	1	0	0	TRUE	FALSE	-1.046603047199998	0.04099138105284829
hsa-miR-382-5p	21	21	1	0	0	TRUE	FALSE	-4.418962909899997	0.00505281843008439
hsa-miR-2681-5p	15	15	1	0	0	TRUE	FALSE	-2.0924439422	5.5386867809487595e-8
hsa-miR-1285-5p	13	13	1	0	0	TRUE	FALSE	-2.3366190427999993	1.5686550724712963e-6
hsa-miR-194-3p	11	11	1	0	0	TRUE	FALSE	-3.808593889999998	2.3139195000629403e-5
hsa-miR-3924	11	11	1	0	0	TRUE	FALSE	-4.457745040999994	0.00823574902427071
hsa-miR-483-3p	11	11	1	0	0	TRUE	FALSE	-9.5203333462999975	5.745368957037116e-7
hsa-miR-4306	10	10	1	0	1	TRUE	TRUE	1.6605358530000018	1.6856157920787525e-4
hsa-miR-1273g-3p	8	8	1	0	0	TRUE	FALSE	-1.7322719987	9.638262781248204e-9
hsa-miR-1304-5p	8	8	1	0	1	TRUE	TRUE	-3.4880674981999977	0.00272225494498589
